ORI9,TYPE,BJS_AGENCYNAME,CITY,STATENAME,STATECODE,POP2012,FTSWORN,FTCIV,PERS_PDSW_MFT,PERS_FTS_WHT,PAY_SAL_EXC_MIN,PAY_SAL_EXC_MAX,PAY_SAL_SGT_MIN,PAY_SAL_SGT_MAX,PAY_SAL_OFCR_MIN,PAY_SAL_OFCR_MAX,PAY_BARG,BDGT_TTL
         ,3,New Hampshire State Police                                                                          ,Concord                                 ,New Hampshire       ,NH,1320659,364,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NH0056200,1,ORFORD POLICE DEPT                                                                                  ,Orford                                  ,New Hampshire       ,NH,1234,2,0,2,2,48000,60000,NA,NA,31200,41100,(2) No,193503
NH0065200,1,PELHAM POLICE DEPT                                                                                  ,Pelham                                  ,New Hampshire       ,NH,13002,21,6,20,21,107439,107439,87272,88101,43451,52811,(1) Yes,2474062
NH0074200,1,PEMBROKE POLICE DEPT                                                                                ,Pembroke                                ,New Hampshire       ,NH,7129,12,2,9,12,55448,76900,43826,60944,36754,48152,(1) Yes,NA
NH0056600,1,PLYMOUTH POLICE DEPT                                                                                ,Plymouth                                ,New Hampshire       ,NH,7027,10,7,8,10,70337,74259,44616,53560,38480,40626,(1) Yes,1132195
NH0086000,1,RAYMOND POLICE DEPT                                                                                 ,Raymond                                 ,New Hampshire       ,NH,10220,17,8,16,17,80000,90000,45000,60000,37500,60000,(1) Yes,2057945
NH0092000,1,ROCHESTER POLICE DEPT                                                                               ,Rochester                               ,New Hampshire       ,NH,29823,55,16,51,54,77693,104213,58653,70182,40102,60737,(1) Yes,6135694
NH0086400,1,SALEM POLICE DEPT                                                                                   ,Salem                                   ,New Hampshire       ,NH,28835,62,14,62,60,101000,101000,65000,75000,42000,63000,(1) Yes,9136000
NH0086800,1,SEABROOK POLICE DEPT                                                                                ,Seabrook                                ,New Hampshire       ,NH,8771,26,8,26,26,105000,106500,57000,59000,44700,53500,(1) Yes,3704000
         ,1,WILMOT POLICE DEPT                                                                                  ,Wilmot                                  ,New Hampshire       ,NH,1373,1,0,1,1,35000,52000,NA,NA,NA,NA,(1) Yes,152000
NH0087400,1,WINDHAM POLICE DEPT                                                                                 ,Windham                                 ,New Hampshire       ,NH,13958,19,7,16,19,73680,89599,58421,64436,43600,55032,(1) Yes,2400000
NJ0010100,1,ABSECON POLICE DEPT                                                                                 ,Absecon                                 ,New Jersey          ,NJ,8387,25,6,22,23,125000,125000,85000,92000,47464,59662,(1) Yes,2424800
NJ0130300,1,ASBURY PARK PUBLIC SAFETY DEPT                                                                      ,Asbury Park                             ,New Jersey          ,NJ,15865,84,4,74,43,80000,125000,98931,98931,45620,90282,(1) Yes,9717136
NJ0010200,1,ATLANTIC CITY POLICE DEPT                                                                           ,Atlantic City                           ,New Jersey          ,NJ,39504,310,183,266,220,149561,149561,108493,108493,58883,58883,(1) Yes,3.80E+07
NJ0010000,2,ATLANTIC COUNTY SHERIFFS OFFICE                                                                     ,Mays Landing                            ,New Jersey          ,NJ,275422,126,12,102,110,107250,107250,83842,83842,33101,33101,(1) Yes,7917590
NJ0153300,1,BARNEGAT TWP POLICE DEPT                                                                            ,Barnegat                                ,New Jersey          ,NJ,21418,41,9,37,40,165000,192000,120000,120000,50000,50000,(1) Yes,5.00E+06
NJ0090100,1,BAYONNE POLICE DEPT                                                                                 ,Bayonne                                 ,New Jersey          ,NJ,64416,174,48,162,154,235000,253000,112294,112294,37922,94502,(1) Yes,24211000
NJ0070100,1,BELLEVILLE TWP POLICE DEPT                                                                          ,Belleville                              ,New Jersey          ,NJ,36111,102,44,97,87,176301,176301,94764,97635,42108,73309,(1) Yes,11549893
NJ0020000,2,BERGEN COUNTY SHERIFFS DEPT                                                                         ,Hackensack                              ,New Jersey          ,NJ,918888,439,79,401,366,138000,138000,115000,115000,41777,106392,(1) Yes,59895336
NJ0020300,1,BERGENFIELD POLICE DEPT                                                                             ,Bergenfield                             ,New Jersey          ,NJ,27017,45,8,43,30,180000,180000,125000,125000,48000,114000,(1) Yes,7100000
NJ0070200,1,BLOOMFIELD TWP POLICE DEPT                                                                          ,Bloomfield                              ,New Jersey          ,NJ,47575,125,12,121,97,182000,182000,NA,NA,NA,NA,(1) Yes,15750000
NJ0020400,1,BOGOTA POLICE DEPT                                                                                  ,Bogota                                  ,New Jersey          ,NJ,8261,16,5,16,11,140000,149000,121000,121000,31000,31000,(1) Yes,NA
NJ0140100,1,BOONTON POLICE DEPT                                                                                 ,Boonton                                 ,New Jersey          ,NJ,8465,26,5,25,24,141345,141345,100556,106799,41518,96271,(1) Yes,1955400
NJ0180500,1,BRANCHBURG TWP POLICE DEPT                                                                          ,Branchburg                              ,New Jersey          ,NJ,14531,26,0,24,23,NA,NA,102298,114484,42251,100653,(1) Yes,2711475
NJ0150600,1,BRICK TWP DEPT OF PUBLIC SFTY                                                                       ,Brick                                   ,New Jersey          ,NJ,75322,130,37,126,128,161353,161353,128409,128409,33930,117853,(1) Yes,1.60E+07
NJ0180600,1,BRIDGEWATER TWP POLICE DEPT                                                                         ,Bridgewater                             ,New Jersey          ,NJ,44886,75,16,73,70,150000,150000,122000,122000,48000,48000,(1) Yes,5500000
NJ0030600,1,BURLINGTON TWP POLICE DEPT                                                                          ,Burlington Township                     ,New Jersey          ,NJ,22719,39,8,36,32,116944,116944,102353,105166,34500,34500,(1) Yes,2912000
NJ0040000,2,CAMDEN COUNTY SHERIFFS OFFICE                                                                       ,Camden                                  ,New Jersey          ,NJ,513539,157,26,134,111,144754,144754,86424,88598,44449,48594,(1) Yes,1.40E+07
NJ0050200,1,CAPE MAY POLICE DEPT                                                                                ,Cape May                                ,New Jersey          ,NJ,3570,24,5,22,23,128000,128000,85000,110000,35000,50000,(1) Yes,NA
NJ0041200,1,CHERRY HILL POLICE DEPT                                                                             ,Cherry Hill                             ,New Jersey          ,NJ,70986,133,26,125,123,145136,145136,109955,118365,41780,94339,(1) Yes,23595232
NJ0030700,1,CHESTERFIELD TWP POLICE DEPT                                                                        ,Chesterfield                            ,New Jersey          ,NJ,7572,10,1,10,9,95600,95600,82097,82097,36540,36540,(1) Yes,865000
NJ0200200,1,CLARK TWP POLICE DEPT                                                                               ,Clark                                   ,New Jersey          ,NJ,14947,41,11,41,39,120000,140000,112000,120000,33000,99985,(1) Yes,5218928
NJ0160200,1,CLIFTON POLICE DEPT                                                                                 ,Clifton                                 ,New Jersey          ,NJ,84722,139,29,134,114,162000,163000,123000,129000,34000,43000,(1) Yes,19300000
NJ0120200,1,CRANBURY TWP POLICE DEPT                                                                            ,Cranbury                                ,New Jersey          ,NJ,3886,16,1,14,16,120000,120000,100177,100177,46269,46269,(1) Yes,2700000
NJ0200300,1,CRANFORD TWP POLICE DEPT                                                                            ,Cranford                                ,New Jersey          ,NJ,23016,46,12,44,42,150000,160000,102000,108000,41000,43000,(1) Yes,6200000
NJ0060000,2,CUMBERLAND COUNTY SHERIFFS DEPT                                                                     ,Bridgeton                               ,New Jersey          ,NJ,157785,55,6,46,41,107600,107600,73046,73046,32782,52291,(1) Yes,3009000
NJ0140800,1,DENVILLE TWP POLICE DEPT                                                                            ,Denville                                ,New Jersey          ,NJ,16784,32,10,32,32,152000,152000,109263,119445,48939,104148,(1) Yes,5755009
NJ0140900,1,DOVER POLICE DEPT                                                                                   ,Dover                                   ,New Jersey          ,NJ,18307,30,1,30,23,136218,136218,119083,127107,40800,109625,(1) Yes,3952900
NJ0070600,1,EAST ORANGE POLICE DEPT                                                                             ,East Orange                             ,New Jersey          ,NJ,64268,230,63,166,13,120000,120000,88545,88545,35629,35629,(1) Yes,26276016
NJ0021300,1,EDGEWATER POLICE DEPT                                                                               ,Edgewater                               ,New Jersey          ,NJ,11972,27,2,25,23,150000,150000,120583,120583,37649,37649,(1) Yes,1429000
NJ0120500,1,EDISON TWP POLICE DEPT                                                                              ,Edison                                  ,New Jersey          ,NJ,100886,166,48,161,151,165000,185000,117000,120000,35000,104000,(1) Yes,NA
NJ0200400,1,ELIZABETH POLICE DEPT                                                                               ,Elizabeth                               ,New Jersey          ,NJ,126458,326,99,299,204,168000,168000,99557,110000,60457,88499,(1) Yes,33524846
NJ0021600,1,ENGLEWOOD CLIFFS POLICE DEPT                                                                        ,Englewood Cliffs                        ,New Jersey          ,NJ,5337,26,1,26,24,161724,198920,131592,143435,35874,96031,(1) Yes,3500000
NJ0021500,1,ENGLEWOOD POLICE DEPT                                                                               ,Englewood                               ,New Jersey          ,NJ,27605,77,23,70,34,170000,181000,119624,128774,39944,119018,(1) Yes,12599000
NJ0070000,2,ESSEX COUNTY SHERIFFS DEPT                                                                          ,Newark                                  ,New Jersey          ,NJ,787744,349,56,296,203,145000,145000,92000,1.00E+05,37000,88000,(1) Yes,18034000
NJ0031300,1,EVESHAM TWP POLICE DEPT                                                                             ,Marlton                                 ,New Jersey          ,NJ,45755,67,8,64,63,105000,159000,102374,115784,35977,100239,(2) No,7858020
